site,species,Family_name,Spp_code,arrival_year,arrival_yearIdx,prevalence,patchy,scaled.breath,TrophicLevel,MaxTotLength,LatExtent,PLD_Mean
SY,Abudefduf bengalensis,Pomacentridae,abbe,2003,1,0.9375,1,0.17131274311865008,3.0763326999928196,17,60,22.8
SY,Abudefduf sexfasciatus,Pomacentridae,abse,2003,1,1,0,0.05949933659464546,2.70808300525,16,68,19
SY,Abudefduf vaigiensis,Pomacentridae,abva,2003,1,1,0,0.509485154277962,3.2242148855140993,20,75,21.1
SY,Abudefduf whitleyi,Pomacentridae,abwh,2003,1,1,0,0.05949933659464546,2.6515019685,14,23,18.3
SY,Chaetodon auriga,Chaetodontidae,chau,2003,1,1,0,0.33303550376309865,3.1826928647158392,23,50,44.3
SY,Chaetodon citrinellus,Chaetodontidae,chci,2003,1,0.75,2,0.168700340155559,2.975733142232205,13,62,50.5
SY,Chaetodon flavirostris,Chaetodontidae,chfl,2003,1,1,0,0.11443719302597338,2.948624151897488,20,30,47.3
SY,Labroides dimidiatus,Labridae,ladi,2003,1,0.75,1.3333333333333333,0.048222795659088775,3.8711030432005358,14,68,23.2
SY,Plectroglyphidodon leucozonus,Pomacentridae,plle,2003,1,0.375,3.3333333333333335,0,2,12,60,NA
SY,Pomacentrus bankanensis,Pomacentridae,poba,2003,1,0.8125,1,NA,NA,9,61,18.4
SY,Stegastes gascoynei,Pomacentridae,stga,2003,1,0.9375,1,NA,NA,15,40,NA
SY,Acanthurus olivaceus,Acanthuridae,acol,2004,2,0.625,1.5,0.1792162317652542,2.3055997558868833,35,67,59.7
SY,Acanthurus triostegus,Acanthuridae,actr,2004,2,0.875,1,0.23582732786050736,2.8336230764068886,27,62,47.4
SY,Centropyge tibicen,Pomacanthidae,ceti,2004,2,0.125,7,0.12255853956713694,2.7897250503472213,19,64,30
SY,Chaetodon guentheri,Chaetodontidae,chgu,2004,2,0.125,4.666666666666667,0.06945500023893253,2.715358548928571,18,NA,NA
SY,Macropharyngodon meleagris,Labridae,mame,2004,2,0.125,7,NA,NA,15,60,27.5
SY,Naso unicornis,Acanthuridae,naun,2004,2,0.4375,1.8,0.05949933659464546,2.1202209003135146,70,68,73.9
SY,Pomacentrus brachialis,Pomacentridae,pobr,2004,2,0.0625,7.5,0.05949933659464546,2.7484980315000005,8,55,18
SY,Pomacentrus coelestis,Pomacentridae,poco,2004,2,0.8125,1,0.23635415893144893,3.1647440326098297,9,64,17.8
SY,Pomacentrus wardi,Pomacentridae,powa,2004,2,0.0625,7.5,0,2,8,NA,21.7
SY,Pomacentrus wardi,Pomacentridae,powa,2004,2,0.0625,7.5,0,2,8,NA,21.7
SY,Ptereleotris evides,Ptereleotridae,ptev,2004,2,0.0625,7.5,0,3.4,14,60,NA
SY,Rhinecanthus rectangulus,Balistidae,rhre,2004,2,0.0625,7.5,NA,NA,30,62,43.5
SY,Stegastes apicalis,Pomacentridae,stap,2004,2,0.3125,2.2,NA,NA,15,28,29.7
SY,Chaetodon vagabundus,Chaetodontidae,chva,2005,3,0.625,2,0.11443719302597338,2.920767564602735,23,72,42.3
SY,Dascyllus trimaculatus,Pomacentridae,datr,2005,3,0.125,4.666666666666667,0.12768885596099647,2.8323755332911187,14,68,28.1
SY,Plectroglyphidodon lacrymatus,Pomacentridae,plla,2005,3,0.0625,7.5,0.13057029847842466,2.508878223014265,10,68,22.4
SY,Pomacentrus chrysurus,Pomacentridae,poch,2005,3,0.0625,7.5,0.11779559261930685,2.548999918971922,9,53,17
SY,Sufflamen chrysopterum,Balistidae,such,2005,3,0.1875,6.5,0.08198598242489753,3.4528867875892857,30,62,NA
SY,Thalassoma lunare,Labridae,thlu,2005,3,0.5625,2.3333333333333335,0.07827468280895564,3.5494226424821433,45,68,50.1
SY,Acanthurus nigrofuscus,Acanthuridae,acni,2006,4,0.5,2,0.07687692061593865,2,21,65,28.9
SY,Chelmonops truncatus,Chaetodontidae,chtr,2006,4,0.0625,7.5,0.06945500023893253,2.706698186160714,22,NA,NA
SY,Zanclus cornutus,Zanclidae,zaco,2006,4,0.125,4.666666666666667,0.07217952308202888,2.511547150357143,23,69,57.9
SY,Iniistius dea,Labridae,inde,2007,5,0.0625,7.5,NA,NA,30,NA,NA
SY,Neopomacentrus azysron,Pomacentridae,neaz,2007,5,0.0625,7.5,0,3.4,NA,40,22.1
SY,Ostracion cubicus,Ostraciidae,oscu,2007,5,0.0625,7.5,0.3231921629841746,3.1956621621480856,45,62,44.3
SY,Pomacentrus australis,Pomacentridae,poau,2007,5,0.1875,4.333333333333333,0.05949933659464546,2.72424901575,8,NA,25
SY,Acanthurus dussumieri,Acanthuridae,acdu,2008,6,0.4375,3,0.12370953379431658,2,54,77,NA
SY,Cheilodactylus vittatus,Pomacentridae,chvi,2008,6,0.0625,7.5,0.21413256275120002,3.4110204558863,10,70,NA
SY,Cheilodactylus vittatus,Cheilodactylidae,chvi,2008,6,0.0625,7.5,0.21413256275120002,3.4110204558863,10,70,NA
SY,Chaetodon kleinii,Chaetodontidae,chkl,2009,7,0.125,4.666666666666667,0.17331939154761897,3.1658521253072327,15,62,56
SY,Chaetodon lunula,Chaetodontidae,chlu,2009,7,0.0625,7.5,0.21755956728163647,3.045111266485623,20,62,43
SY,Choerodon cephalotes,Labridae,chce,2010,8,0.0625,7.5,0.11441067320050329,3.4031190885165303,38,NA,NA
SY,Ctenochaetus striatus,Acanthuridae,ctst,2010,8,0.375,3.3333333333333335,0.05870601210671683,2,26,65,43.9
SY,NA,Grammistidae,dibi,2010,8,0.0625,7.5,NA,NA,NA,NA,NA
SY,Halichoeres nebulosus,Labridae,hane,2010,8,0.125,7,NA,NA,12,60,23.9
SY,Heniochus acuminatus,Chaetodontidae,heac,2010,8,0.0625,7.5,0.1802175292233674,3.4067463907611084,25,65,40.8
SY,Stethojulis bandanensis,Labridae,stba,2010,8,0.125,7,0.08316685048451547,3.2861434195714283,15,64,30.7
SY,Stethojulis interrupta,Labridae,stin,2010,8,0.125,7,0,3.5,13,68,NA
SY,Stethojulis trilineata,Labridae,sttr,2010,8,0.125,7,NA,NA,15,35,NA
SY,Acanthurus albipectoralis,Acanthuridae,acal,2011,9,0.0625,7.5,0,3.4,33,17,NA
SY,Anampses caeruleopunctatus,Labridae,anca,2011,9,0.1875,4.333333333333333,0.09463436653563922,3.3871130742951667,42,71,25
SY,Anampses geographicus,Labridae,ange,2011,9,0.0625,7.5,0,3.5,31,60,NA
SY,Chromis weberi,Pomacentridae,chwe,2011,9,0.0625,7.5,0,3.4,NA,55,31.2
SY,Ctenochaetus binotatus,Acanthuridae,ctbi,2011,9,0.1875,4.333333333333333,0.05870601210671683,2,22,58,58.5
SY,Halichoeres chrysus,Labridae,hach,2011,9,0.0625,7.5,NA,NA,12,64,26.1
SY,Halichoeres marginatus,Labridae,hama,2011,9,0.0625,7.5,NA,NA,18,64,22.2
SY,Naso brevirostris,Acanthuridae,nabr,2011,9,0.125,7,0.05949933659464546,2.253910827254293,60,65,79.65
SY,Naso vlamingii,Acanthuridae,navl,2011,9,0.125,4.666666666666667,0.12456099051191895,2.1637830993479064,60,60,77.3
SY,Pomacentrus nagasakiensis,Pomacentridae,pona,2011,9,0.0625,7.5,0.05949933659464546,2.6919169947499997,10,35,22.4
SY,Zebrasoma velifer,Acanthuridae,zeve,2011,9,0.0625,7.5,0,2,40,61,35.75
SY,Acanthurus lineatus,Acanthuridae,acli,2012,10,0.125,7,0,2,38,72,40.4
SY,Chaetodon unimaculatus,Chaetodontidae,chun,2012,10,0.0625,7.5,0.22108633416490223,3.1094830307164103,20,70,35
SY,NA,Pomacentridae,chle,2013,11,0.125,4.666666666666667,NA,NA,NA,NA,NA
SY,Heniochus chrysostomus,Chaetodontidae,hech,2014,12,0.0625,7.5,0,3.34,18,60,32.7
SY,Anampses neoguinaicus,Labridae,anne,2016,14,0.0625,7.5,0,3.5,20,NA,NA
SY,Chromis margaritifer,Pomacentridae,chma,2016,14,0.125,7,0.1903193352653229,2.876440364163348,9,64,31.8
SY,Chrysiptera rex,Pomacentridae,chre,2016,14,0.0625,7.5,0,2,7,57,19.8
SY,Fistularia commersonii,Fistulariidae,fico,2017,15,0.0625,7.5,0.10864735893556601,4.184375589510007,160,64,46
SY,Arothron hispidus,Tetraodontidae,arhi,2018,16,0.0625,15,0.3834996831355807,3.1347729244495497,50,72,40.8
SY,Rhinecanthus aculeatus,Balistidae,rhac,2018,16,0.0625,15,0.49476279525487027,3.2167700964615515,30,60,NA
ME,Abudefduf bengalensis,Pomacentridae,abbe,2003,1,0.5625,1.4,0.17131274311865008,3.0763326999928196,17,60,22.8
ME,Abudefduf sexfasciatus,Pomacentridae,abse,2003,1,0.625,1.5,0.05949933659464546,2.70808300525,16,68,19
ME,Abudefduf vaigiensis,Pomacentridae,abva,2003,1,1,0,0.509485154277962,3.2242148855140993,20,75,21.1
ME,Abudefduf whitleyi,Pomacentridae,abwh,2011,9,0.1875,4.333333333333333,0.05949933659464546,2.6515019685,14,23,18.3
ME,Chaetodon auriga,Chaetodontidae,chau,2003,1,1,0,0.33303550376309865,3.1826928647158392,23,50,44.3
ME,Chaetodon citrinellus,Chaetodontidae,chci,2003,1,0.375,2.5,0.168700340155559,2.975733142232205,13,62,50.5
ME,Chaetodon flavirostris,Chaetodontidae,chfl,2003,1,0.8125,1.5,0.11443719302597338,2.948624151897488,20,30,47.3
ME,Labroides dimidiatus,Labridae,ladi,2011,9,0.1875,4.333333333333333,0.048222795659088775,3.8711030432005358,14,68,23.2
ME,Plectroglyphidodon leucozonus,Pomacentridae,plle,2018,16,0,16,0,2,12,60,NA
ME,Pomacentrus bankanensis,Pomacentridae,poba,2018,16,0,16,NA,NA,9,61,18.4
ME,Stegastes gascoynei,Pomacentridae,stga,2018,16,0,16,NA,NA,15,40,NA
ME,Acanthurus olivaceus,Acanthuridae,acol,2011,9,0.25,3,0.1792162317652542,2.3055997558868833,35,67,59.7
ME,Acanthurus triostegus,Acanthuridae,actr,2004,2,0.3125,2.2,0.23582732786050736,2.8336230764068886,27,62,47.4
ME,Centropyge tibicen,Pomacanthidae,ceti,2011,9,0.125,4.666666666666667,0.12255853956713694,2.7897250503472213,19,64,30
ME,Chaetodon guentheri,Chaetodontidae,chgu,2003,1,0.125,7,0.06945500023893253,2.715358548928571,18,NA,NA
ME,Macropharyngodon meleagris,Labridae,mame,2018,16,0,16,NA,NA,15,60,27.5
ME,Naso unicornis,Acanthuridae,naun,2018,16,0,16,0.05949933659464546,2.1202209003135146,70,68,73.9
ME,Pomacentrus brachialis,Pomacentridae,pobr,2018,16,0,16,0.05949933659464546,2.7484980315000005,8,55,18
ME,Pomacentrus coelestis,Pomacentridae,poco,2003,1,0.75,2,0.23635415893144893,3.1647440326098297,9,64,17.8
ME,Pomacentrus wardi,Pomacentridae,powa,2018,16,0,16,0,2,8,NA,21.7
ME,Pomacentrus wardi,Pomacentridae,powa,2018,16,0,16,0,2,8,NA,21.7
ME,Ptereleotris evides,Ptereleotridae,ptev,2018,16,0,16,0,3.4,14,60,NA
ME,Rhinecanthus rectangulus,Balistidae,rhre,2018,16,0,16,NA,NA,30,62,43.5
ME,Stegastes apicalis,Pomacentridae,stap,2018,16,0,16,NA,NA,15,28,29.7
ME,Chaetodon vagabundus,Chaetodontidae,chva,2003,1,0.6875,1,0.11443719302597338,2.920767564602735,23,72,42.3
ME,Dascyllus trimaculatus,Pomacentridae,datr,2018,16,0,16,0.12768885596099647,2.8323755332911187,14,68,28.1
ME,Plectroglyphidodon lacrymatus,Pomacentridae,plla,2018,16,0,16,0.13057029847842466,2.508878223014265,10,68,22.4
ME,Pomacentrus chrysurus,Pomacentridae,poch,2018,16,0,16,0.11779559261930685,2.548999918971922,9,53,17
ME,Sufflamen chrysopterum,Balistidae,such,2017,15,0.0625,7.5,0.08198598242489753,3.4528867875892857,30,62,NA
ME,Thalassoma lunare,Labridae,thlu,2010,8,0.5,4,0.07827468280895564,3.5494226424821433,45,68,50.1
ME,Acanthurus nigrofuscus,Acanthuridae,acni,2011,9,0.1875,3.25,0.07687692061593865,2,21,65,28.9
ME,Chelmonops truncatus,Chaetodontidae,chtr,2003,1,0.25,6,0.06945500023893253,2.706698186160714,22,NA,NA
ME,Zanclus cornutus,Zanclidae,zaco,2018,16,0,16,0.07217952308202888,2.511547150357143,23,69,57.9
ME,Iniistius dea,Labridae,inde,2018,16,0,16,NA,NA,30,NA,NA
ME,Neopomacentrus azysron,Pomacentridae,neaz,2018,16,0,16,0,3.4,NA,40,22.1
ME,Ostracion cubicus,Ostraciidae,oscu,2003,1,0.1875,4.333333333333333,0.3231921629841746,3.1956621621480856,45,62,44.3
ME,Pomacentrus australis,Pomacentridae,poau,2007,5,0.125,4.666666666666667,0.05949933659464546,2.72424901575,8,NA,25
ME,Acanthurus dussumieri,Acanthuridae,acdu,2010,8,0.5,4,0.12370953379431658,2,54,77,NA
ME,Cheilodactylus vittatus,Pomacentridae,chvi,2018,16,0,16,0.21413256275120002,3.4110204558863,10,70,NA
ME,Cheilodactylus vittatus,Cheilodactylidae,chvi,2018,16,0,16,0.21413256275120002,3.4110204558863,10,70,NA
ME,Chaetodon kleinii,Chaetodontidae,chkl,2004,2,0.0625,7.5,0.17331939154761897,3.1658521253072327,15,62,56
ME,Chaetodon lunula,Chaetodontidae,chlu,2004,2,0.25,3,0.21755956728163647,3.045111266485623,20,62,43
ME,Choerodon cephalotes,Labridae,chce,2018,16,0,16,0.11441067320050329,3.4031190885165303,38,NA,NA
ME,Ctenochaetus striatus,Acanthuridae,ctst,2018,16,0,16,0.05870601210671683,2,26,65,43.9
ME,NA,Grammistidae,dibi,2018,16,0,16,NA,NA,NA,NA,NA
ME,Halichoeres nebulosus,Labridae,hane,2016,14,0.0625,7.5,NA,NA,12,60,23.9
ME,Heniochus acuminatus,Chaetodontidae,heac,2012,10,0.125,4.666666666666667,0.1802175292233674,3.4067463907611084,25,65,40.8
ME,Stethojulis bandanensis,Labridae,stba,2018,16,0,16,0.08316685048451547,3.2861434195714283,15,64,30.7
ME,Stethojulis interrupta,Labridae,stin,2018,16,0,16,0,3.5,13,68,NA
ME,Stethojulis trilineata,Labridae,sttr,2018,16,0,16,NA,NA,15,35,NA
ME,Acanthurus albipectoralis,Acanthuridae,acal,2016,14,0.0625,7.5,0,3.4,33,17,NA
ME,Anampses caeruleopunctatus,Labridae,anca,2018,16,0,16,0.09463436653563922,3.3871130742951667,42,71,25
ME,Anampses geographicus,Labridae,ange,2018,16,0,16,0,3.5,31,60,NA
ME,Chromis weberi,Pomacentridae,chwe,2016,14,0.0625,7.5,0,3.4,NA,55,31.2
ME,Ctenochaetus binotatus,Acanthuridae,ctbi,2011,9,0.125,4.666666666666667,0.05870601210671683,2,22,58,58.5
ME,Halichoeres chrysus,Labridae,hach,2018,16,0,16,NA,NA,12,64,26.1
ME,Halichoeres marginatus,Labridae,hama,2018,16,0,16,NA,NA,18,64,22.2
ME,Naso brevirostris,Acanthuridae,nabr,2018,16,0,16,0.05949933659464546,2.253910827254293,60,65,79.65
ME,Naso vlamingii,Acanthuridae,navl,2018,16,0,16,0.12456099051191895,2.1637830993479064,60,60,77.3
ME,Pomacentrus nagasakiensis,Pomacentridae,pona,2018,16,0,16,0.05949933659464546,2.6919169947499997,10,35,22.4
ME,Zebrasoma velifer,Acanthuridae,zeve,2018,16,0,16,0,2,40,61,35.75
ME,Acanthurus lineatus,Acanthuridae,acli,2005,3,0.0625,7.5,0,2,38,72,40.4
ME,Chaetodon unimaculatus,Chaetodontidae,chun,2018,16,0,16,0.22108633416490223,3.1094830307164103,20,70,35
ME,NA,Pomacentridae,chle,2018,16,0,16,NA,NA,NA,NA,NA
ME,Heniochus chrysostomus,Chaetodontidae,hech,2004,2,0.0625,7.5,0,3.34,18,60,32.7
ME,Anampses neoguinaicus,Labridae,anne,2018,16,0,16,0,3.5,20,NA,NA
ME,Chromis margaritifer,Pomacentridae,chma,2018,16,0,16,0.1903193352653229,2.876440364163348,9,64,31.8
ME,Chrysiptera rex,Pomacentridae,chre,2018,16,0,16,0,2,7,57,19.8
ME,Fistularia commersonii,Fistulariidae,fico,2018,16,0,16,0.10864735893556601,4.184375589510007,160,64,46
ME,Arothron hispidus,Tetraodontidae,arhi,2018,16,0,16,0.3834996831355807,3.1347729244495497,50,72,40.8
ME,Rhinecanthus aculeatus,Balistidae,rhac,2018,16,0,16,0.49476279525487027,3.2167700964615515,30,60,NA
